loss,mean_absolute_error,val_loss,val_mean_absolute_error,epoch
18.43798828125,4.2700114250183105,10.075883865356445,3.1562297344207764,1
17.138641357421875,4.1008100509643555,7.786005973815918,2.7603466510772705,2
16.00362205505371,3.9411494731903076,5.849674224853516,2.370961904525757,3
14.862988471984863,3.7690160274505615,4.245892524719238,1.986581563949585,4
13.832623481750488,3.6088948249816895,2.8616409301757812,1.5735231637954712,5
12.830988883972168,3.430685043334961,1.763590693473816,1.128925085067749,6
11.80994701385498,3.236311674118042,1.0400093793869019,0.8221977353096008,7
10.883703231811523,3.02494215965271,0.7941053509712219,0.7001781463623047,8
10.122893333435059,2.859895944595337,1.0270096063613892,0.8449780344963074,9
9.424410820007324,2.691869020462036,1.727338194847107,1.0967271327972412,10
8.833724021911621,2.58128023147583,2.875711441040039,1.4745886325836182,11
8.351347923278809,2.4839978218078613,4.408847808837891,1.8376725912094116,12
8.039044380187988,2.4154484272003174,6.240358829498291,2.1800551414489746,13
7.779708385467529,2.3628952503204346,8.181674003601074,2.5172622203826904,14
7.65665340423584,2.3551876544952393,10.156991004943848,2.85495924949646,15
7.55330228805542,2.3666865825653076,11.915131568908691,3.1269946098327637,16
7.585367679595947,2.4044833183288574,13.456061363220215,3.3486828804016113,17
7.557142734527588,2.395922899246216,14.428361892700195,3.482672929763794,18
7.494123935699463,2.3919434547424316,14.77154541015625,3.530449628829956,19
7.40761661529541,2.378316640853882,14.53019905090332,3.501203775405884,20
7.304764747619629,2.362213134765625,13.893754959106445,3.418637752532959,21
7.160468578338623,2.337155818939209,13.12818717956543,3.316094160079956,22
7.015897274017334,2.3112845420837402,12.318090438842773,3.2039530277252197,23
6.881121635437012,2.2864737510681152,11.292928695678711,3.0554966926574707,24
6.770969867706299,2.265561580657959,10.241814613342285,2.895545482635498,25
6.607579708099365,2.2288684844970703,9.44556999206543,2.7691409587860107,26
6.501040935516357,2.2003021240234375,8.71173095703125,2.647730588912964,27
6.381763458251953,2.1757166385650635,8.144326210021973,2.550708532333374,28
6.292201519012451,2.155593156814575,7.565939426422119,2.44789719581604,29
6.190011501312256,2.131272554397583,7.136678218841553,2.3696396350860596,30
6.0896148681640625,2.10858154296875,6.877701759338379,2.322556734085083,31
5.98085355758667,2.086915969848633,6.813466548919678,2.3133678436279297,32
5.8696699142456055,2.0685975551605225,6.826935768127441,2.319566011428833,33
5.754035949707031,2.0524179935455322,6.943282127380371,2.3459911346435547,34
5.6394548416137695,2.035142660140991,7.0489959716796875,2.370208978652954,35
5.510158538818359,2.015840768814087,7.1730804443359375,2.3977458477020264,36
5.4153008460998535,2.0030694007873535,7.4569478034973145,2.455298900604248,37
5.2925848960876465,1.9876196384429932,7.6033806800842285,2.486409902572632,38
5.190541744232178,1.9701366424560547,7.754130840301514,2.5180468559265137,39
5.05959415435791,1.9486303329467773,7.723789691925049,2.5163514614105225,40
4.947956085205078,1.9299812316894531,7.661973476409912,2.5089223384857178,41
4.820423603057861,1.9049351215362549,7.452164649963379,2.4740118980407715,42
4.704655170440674,1.8798179626464844,7.084798336029053,2.4086244106292725,43
4.569477558135986,1.851841926574707,6.787437438964844,2.355215549468994,44
4.459707736968994,1.826532006263733,6.487679481506348,2.300205945968628,45
4.317304611206055,1.7982463836669922,6.293292045593262,2.265420436859131,46
4.190800189971924,1.7707241773605347,6.0699615478515625,2.224177837371826,47
4.066980838775635,1.743784785270691,5.832982063293457,2.179321050643921,48
3.937638998031616,1.7156277894973755,5.743506908416748,2.1653363704681396,49
3.7960307598114014,1.6853713989257812,5.61378812789917,2.1426212787628174,50
3.6639697551727295,1.6560527086257935,5.456751823425293,2.113774061203003,51
3.5248875617980957,1.6248886585235596,5.362408638000488,2.098466396331787,52
3.3996036052703857,1.5968141555786133,5.225189685821533,2.0736281871795654,53
3.2496166229248047,1.5623048543930054,4.9958391189575195,2.0274863243103027,54
3.1080195903778076,1.5284175872802734,4.861643314361572,2.002411127090454,55
2.9782698154449463,1.4947309494018555,4.638267993927002,1.9556390047073364,56
2.8286900520324707,1.4574612379074097,4.361208438873291,1.893983006477356,57
2.6874592304229736,1.4190045595169067,4.142289638519287,1.8448117971420288,58
2.5506739616394043,1.3814762830734253,3.8532655239105225,1.7758903503417969,59
2.3956313133239746,1.3393434286117554,3.632195234298706,1.7225093841552734,60
2.2685930728912354,1.3010175228118896,3.372122287750244,1.6560827493667603,61
2.1317203044891357,1.2589370012283325,3.1677029132843018,1.603312373161316,62
1.9818016290664673,1.2148884534835815,2.9806485176086426,1.5532671213150024,63
1.8577402830123901,1.174000859260559,2.8163979053497314,1.5082842111587524,64
1.710694432258606,1.1275584697723389,2.6457667350769043,1.4600536823272705,65
1.5857324600219727,1.0843626260757446,2.51125168800354,1.4220085144042969,66
1.4626843929290771,1.039819598197937,2.4421584606170654,1.4050434827804565,67
1.340997576713562,0.9960278272628784,2.293531656265259,1.3604414463043213,68
1.2322123050689697,0.9544864296913147,2.184081792831421,1.3282252550125122,69
1.11043119430542,0.9050658345222473,2.03255295753479,1.2783526182174683,70
1.0058575868606567,0.8591856956481934,1.8289546966552734,1.205145001411438,71
0.9045109152793884,0.8109496831893921,1.6279534101486206,1.1279329061508179,72
0.8025038838386536,0.7627257108688354,1.469269871711731,1.0627713203430176,73
0.7075303792953491,0.714026927947998,1.3571449518203735,1.0158308744430542,74
0.6372190117835999,0.6722211241722107,1.25857412815094,0.9746124148368835,75
0.5556037425994873,0.6260919570922852,1.1623433828353882,0.9327594637870789,76
0.4811583161354065,0.5807425379753113,1.0665104389190674,0.8884130120277405,77
0.41351112723350525,0.5374640226364136,0.984221339225769,0.8482052087783813,78
0.36283376812934875,0.4984564185142517,0.913406491279602,0.8135320544242859,79
0.3078155219554901,0.457956999540329,0.83925861120224,0.7742434144020081,80
0.2614912986755371,0.4194627106189728,0.7431492209434509,0.7175717353820801,81
0.21938225626945496,0.38066381216049194,0.6671429872512817,0.6703967452049255,82
0.18539713323116302,0.3487637937068939,0.5849013328552246,0.6146573424339294,83
0.1552358716726303,0.3145884573459625,0.5291241407394409,0.5758668184280396,84
0.1281553953886032,0.28351202607154846,0.47097018361091614,0.5362033247947693,85
0.10628748685121536,0.26041463017463684,0.4272367060184479,0.5043976902961731,86
0.08770646899938583,0.23868918418884277,0.39196375012397766,0.47717729210853577,87
0.07439114153385162,0.22223283350467682,0.35786643624305725,0.44917863607406616,88
0.061778273433446884,0.20166359841823578,0.32195329666137695,0.4177587330341339,89
0.05191345885396004,0.18570324778556824,0.29207858443260193,0.38959258794784546,90
0.04430794715881348,0.169954314827919,0.26617783308029175,0.36656221747398376,91
0.03908327594399452,0.1582804024219513,0.2436637580394745,0.34917163848876953,92
0.03528477996587753,0.15009544789791107,0.22435347735881805,0.3330671489238739,93
0.032269906252622604,0.14299117028713226,0.21055376529693604,0.3201409876346588,94
0.029563572257757187,0.13671617209911346,0.19735877215862274,0.3074001669883728,95
0.02760559692978859,0.13026395440101624,0.1848059445619583,0.2948419749736786,96
0.026480605825781822,0.12640608847141266,0.17413827776908875,0.2835923731327057,97
0.02577623352408409,0.12281743437051773,0.16435061395168304,0.27264514565467834,98
0.02593681588768959,0.12391037493944168,0.15655417740345,0.2631581723690033,99
0.025058481842279434,0.12236954271793365,0.14689771831035614,0.25168493390083313,100
